Item #,Model #,Item Name,Description,Product Details,Price (New/Used),Highlights/Features,Average,Pictures,Specifications,Manual / Guides 
205347974,92730,14-Gauge 4 in. Box Style Trench Shovel with Fiberglass Long Handle,"The Bully Tools 4 in. 14-Gauge Box Style Trench Shovel's blade measures 4 in. x 12 in. with a 47 in. handle. Tool measures 59 in. long. The Bully Tools 4 in. Box Style Trench Shovel comes with a limited lifetime warranty that protects against defects in material and workmanship. Founded in 1994. Bully Tools manufactures gardening and farm tools, shingle removers, floor scrapers, forestry and other specialty tools. With an unprecedented history of quality, Bully Tools is committed to applying the same reliability to our business practices. Bully Tools continues to grow and adapt to meet the ever changing needs of the economy and their consumers.","Bullet02 : Features an extended length ferrule,Bullet01 : Features a closed back, support rib for strength,Bullet03 : Has a reinforced fiberglass long handle,Bullet04 : Comes with a limited lifetime warranty,MFG Brand Name : Bully Tools",35.71 / 35.71,"Product Highlight 3 : Perfect tool for digging and landscaping,Product Highlight 2 : Manufactured strong and durable,Product Highlight 1 : Handle designed to increase leverage and reduce fatigue",4.0,"https://images.homedepot-static.com/productImages/88491a62-b91b-4353-b647-19b2cad7cb61/svn/bully-tools-shovels-92730-64_1000.jpg,https://images.homedepot-static.com/productImages/b1cc6188-7ab8-423f-83d5-f86b1eb58eca/svn/bully-tools-shovels-92730-c3_1000.jpg","Handle Material : Fiberglass,Garden Center Tool Type : Shovel,Returnable : 90-Day,D-Grip Handle : No,Coated Blades : No,Product Weight (lb.) : 4.45,Blade Material : Steel,Handle Length (in.) : 47,Blade Width (in.) : 12,Product Width (in.) : 7.5,Product Height (in.) : 4.25,Product Depth (in.) : 7.5,Blade Length (in.) : 4,Manufacturer Warranty : Limited Lifetime Warranty","Product Brochure : https://images.homedepot-static.com/catalog/pdfImages/0e/0ea7a8db-3b02-4db1-b169-b5023abc3210.pdf,Instructions / Assembly : https://images.homedepot-static.com/catalog/pdfImages/11/1135e9c1-2010-4aa3-b54e-3b70124b3b92.pdf"
308718730,23311,44 in. Root Slayer Perennial Shovel,"An astute customer of ours pointed out that the original Root Slayer Shovel can be overkill for many gardening tasks and even too heavy for some older gardeners. She said we should design a lightweight version specifically for working with perennials. So we started with a blade that is about 70% of the size of the Root Slayer Shovel, added a lightweight super durable fiberglass shaft and topped it off with our patented O-handle grip. The Root Slayer Perennial Shovel is truly a miracle worker in the garden. We recently dug out, divided and transplanted a sizable bed of daylilies in about half the normal time with this incredible tool. The sharpened inverted V cutting tip prevents perennial roots from slipping from underneath the shovel blade while dividing. And, it's every bit as useful for raised beds, flower gardens and general digging.","Bullet02 : Patented O-handle features 4-times the gripping surface of conventional tools,Bullet04 : Extra-wide, elevated forward step for safety and optimal performance,Bullet06 : Shaft made of reinforced 13-gauge resin-encased fiberglass and non-latex grips at top,Bullet07 : Designed to relieve arm, hand, and wrist stress,Bullet10 : Lifetime manufacturer guarantee (continental US only),Bullet01 : Sharpened inverted-V cutting tip prevents perennial roots from slipping from underneath the shovel blade while dividing,Bullet03 : Room for both hands and provides extra leverage and reduces hand stress,Bullet09 : Regularly clean and sharpen blade to maintain quality and performance of the blade,MFG Brand Name : Radius Garden,Bullet05 : Blade made of powder-coated carbon steel for ultimate strength when digging,Bullet08 : Comfortable and strong enough for every garden task",34.99 / 34.99,,4.75,https://images.homedepot-static.com/productImages/7a60a895-e07d-42eb-8be3-152c4396177b/svn/radius-garden-shovels-23311-64_1000.jpg,"Blade Material : Carbon Steel,Handle Material : Fiberglass,Garden Center Tool Type : Shovel,Returnable : 90-Day,D-Grip Handle : No,Coated Blades : No,Product Weight (lb.) : 3.25 lb,Product Height (in.) : 44 in,Product Depth (in.) : 3.25,Blade Length (in.) : 9.25 in,Product Width (in.) : 7.75 in,Handle Length (in.) : 34.75,Blade Width (in.) : 7.5,Manufacturer Warranty : Yes",Instructions / Assembly : https://images.homedepot-static.com/catalog/pdfImages/f8/f8fa2acb-5b56-476c-b470-b85d45de6671.pdf
203153012,72075,48 in. Fiberglass Handle Heavy-Duty Square Point Shovel,"Nupla has been an innovator for over 70 years in the development of fiberglass technologies and has earned the reputation as the industry standard for fiberglass striking, cutting, digging, and fire tools. Nupla handles are unaffected by sub zero temperatures, do not conduct heat or cold and are impervious to industrial chemicals. Nupla handles are also non-conductive and have a built in dielectric safety feature since Lifetime Nuplaglas is one of the finest insulators available. The 48 in. Heavy Duty Square Point Shovel handle is solid pultruded fiberglass made with thousands of fiberglass strands and a unique resin making it super strong and resistant to weather, chemicals and insects (unlike most wooden handles). The Shovel can be used for house and road construction, farming, landscaping, utilities, and any other heavy duty application requiring concerted use of force.","MFG Brand Name : Nupla,Bullet02 : All Nupla tools feature lifetime Nuplaglas handles for strength, safety, and durability,Bullet08 : Nuplaglas handles have a longer job site life expectancy since they are unaffected by moisture, fungus, termites or dry rot that destroy wood handles,Bullet06 : Classic Lifetime Nuplaglas handles do not absorb moisture,Bullet07 : Nupla handles are unaffected by sub zero temperatures, do not conduct heat or cold and are impervious to industrial chemicals,Bullet05 : Lifetime warranty: All Nupla products are warranted against any and all defects in material or manufacturing,Bullet03 : Nupla's non-slip handle designs can be used in wet conditions where moisture-laden wood or tubular steel would have disastrous results,Bullet01 : All Nupla handles are proudly manufactured in the USA,Bullet04 : Smooth, resin rich Nupla handle surfaces protect users from splinters and resist UV deterioration",39.84 / 39.84,,4.0,https://images.homedepot-static.com/productImages/b7822b3d-b855-4bad-a73a-6f0664771ef5/svn/nupla-shovels-72075-64_1000.jpg,"Handle Material : Fiberglass,Garden Center Tool Type : Shovel,Returnable : 90-Day,D-Grip Handle : Yes,Blade Material : Steel,Product Weight (lb.) : 5.85 lb,Coated Blades : Yes,Product Width (in.) : 9.25,Handle Length (in.) : 48,Product Depth (in.) : 38,Product Height (in.) : 4.25,Blade Width (in.) : 9.88,Blade Length (in.) : 11.5 in,Manufacturer Warranty : Lifetime",
205352514,53130,31 in. D-Handle Aluminum Scoop,"Strength and durability make Razor-Back tools the choice of professionals. This lightweight aluminum scoop is perfect for moving and scooping grain, seed, feed, fertilizers and other granulated materials. It's also a useful and versatile garden tool sturdy enough for general clean-up or for moving mulch, sand or soil.","MFG Brand Name : Razor-Back,Bullet02 : 31 in. sturdy, stained North American hardwood handle for long life,Bullet03 : Western-pattern, ribbed blade for added strength and durability,Bullet01 : Aluminum blade, size #14, is lightweight, non-sparking and naturally rust proof,Bullet04 : Steel and wood D-grip provides leverage and control",61.58 / 61.58,"Product Highlight 1 : Lightweight, rustproof aluminum scoop,Product Highlight 2 : Versatile multi-season tool,Product Highlight 3 : Strong hardwood handle with Armor D-grip",4.6667,"https://images.homedepot-static.com/productImages/1b7e320b-cd34-4467-a7b0-159952e72a37/svn/razor-back-shovels-53130-64_1000.jpg,https://images.homedepot-static.com/productImages/8e91a011-aa6d-4b39-9ca2-a69e9a2ec569/svn/razor-back-shovels-53130-c3_1000.jpg,https://images.homedepot-static.com/productImages/881b80a2-045d-40dc-a1d8-85c678b2b1b2/svn/razor-back-shovels-53130-4f_1000.jpg,https://images.homedepot-static.com/productImages/e09917cf-3c49-440f-b52a-10fb08f258d4/svn/razor-back-shovels-53130-31_1000.jpg","Garden Center Tool Type : Shovel,Returnable : 90-Day,Product Weight (lb.) : 3,Handle Material : Wood,Coated Blades : No,Blade Material : Aluminum,D-Grip Handle : Yes,Handle Length (in.) : 31,Product Width (in.) : 15.3,Blade Width (in.) : 15.25,Product Depth (in.) : 4.5,Blade Length (in.) : 15,Product Height (in.) : 46,Manufacturer Warranty : Lifetime",Instructions / Assembly : https://images.homedepot-static.com/catalog/pdfImages/47/4740c369-4236-4419-8677-d3fd4bbaf847.pdf
205352501,48110,29 in. D-Handle Post Spade,"The Razor-Back post spade is designed for digging postholes and ditches. Open back blade built for maximum strength. The handle was designed for comfort, hand control, strength and durability while digging postholes.","Bullet02 : 16 in. open-back industrial grade tempered steel blade for maximum strength,Bullet03 : 29 in. hardwood handle for strength and durability,MFG Brand Name : Razor-Back,Bullet01 : 9 in. socket,Bullet04 : Steel and wood D-grip for added leverage and control",38.55 / 38.55,"Product Highlight 2 : Great for digging postholes and ditches,Product Highlight 3 : Strong hardwood handle with Armor D-grip,Product Highlight 1 : Industrial grade tempered steel blade",4.3333,"https://images.homedepot-static.com/productImages/6bda843b-ff62-48c7-bf34-145153f61de9/svn/razor-back-shovels-48110-64_1000.jpg,https://images.homedepot-static.com/productImages/8e91a011-aa6d-4b39-9ca2-a69e9a2ec569/svn/razor-back-shovels-48110-c3_1000.jpg,https://images.homedepot-static.com/productImages/2d93b7fc-0d3d-428f-8072-6c8a4f285f24/svn/razor-back-shovels-48110-4f_1000.jpg,https://images.homedepot-static.com/productImages/84191dad-2f59-4d4c-8d00-0196d3ced67a/svn/razor-back-shovels-48110-31_1000.jpg","Garden Center Tool Type : Shovel,Returnable : 90-Day,Handle Material : Wood,D-Grip Handle : Yes,Blade Material : Steel,Product Weight (lb.) : 4.5,Coated Blades : Yes,Blade Width (in.) : 6.5,Product Depth (in.) : 2.875,Blade Length (in.) : 16,Product Width (in.) : 6.5,Product Height (in.) : 44.625,Handle Length (in.) : 29,Manufacturer Warranty : Lifetime",Instructions / Assembly : https://images.homedepot-static.com/catalog/pdfImages/47/4740c369-4236-4419-8677-d3fd4bbaf847.pdf
205347995,92702,12-Gauge Weighted Caprock/Pony Shovel with Fiberglass Long Handle,"The Bully Tools 12-Gauge Weighted Caprock/Pony Shovel's blade measures 10 in. x 9.25 in. with a 48.5 in. handle. Tool measures 58.5 in. long. The Bully Tools Weighted Caprock/Pony Shovel comes with a limited lifetime warranty that protects against defects in material and workmanship. Founded in 1994. Bully Tools manufactures gardening and farm tools, shingle removers, floor scrapers, forestry and other specialty tools. With an unprecedented history of quality, Bully Tools is committed to applying the same reliability to our business practices. Bully Tools continues to grow and adapt to meet the ever changing needs of the economy and their consumers.","Bullet02 : Features an extended length ferrule,Bullet01 : Features a closed back, support rib for strength,Bullet03 : Has a reinforced fiberglass long handle,Bullet04 : Comes with a limited lifetime warranty,MFG Brand Name : Bully Tools",56.52 / 56.52,"Product Highlight 3 : Perfect tool for digging and landscaping,Product Highlight 2 : Manufactured strong and durable,Product Highlight 1 : Handle designed to increase leverage and reduce fatigue",3.8333,"https://images.homedepot-static.com/productImages/24ab30b3-c22c-41cc-b1aa-7de8f37cbaff/svn/bully-tools-shovels-92702-64_1000.jpg,https://images.homedepot-static.com/productImages/a3d87286-f4c2-42d1-89bd-36742cf196ff/svn/bully-tools-shovels-92702-c3_1000.jpg,https://images.homedepot-static.com/productImages/64b31ba4-3d22-4137-8b0f-5271022a3680/svn/bully-tools-shovels-92702-4f_1000.jpg,https://images.homedepot-static.com/productImages/71906adb-2c8e-4b43-87f4-b65a16d1ba25/svn/bully-tools-shovels-92702-1f_1000.jpg,https://images.homedepot-static.com/productImages/67093482-b8cf-4ca4-9163-9aec1dd99e3d/svn/bully-tools-shovels-92702-44_1000.jpg,https://images.homedepot-static.com/productImages/11537270-5a17-426b-bc37-ec20d5a81c75/svn/bully-tools-shovels-92702-fa_1000.jpg","Handle Material : Fiberglass,Garden Center Tool Type : Shovel,Returnable : 90-Day,Product Weight (lb.) : 7.95,D-Grip Handle : No,Coated Blades : No,Blade Material : Steel,Product Height (in.) : 58.5,Product Width (in.) : 9.25,Product Depth (in.) : 2.25,Blade Width (in.) : 9.25,Handle Length (in.) : 48.5,Blade Length (in.) : 10,Manufacturer Warranty : Limited Lifetime Warranty",Instructions / Assembly : https://images.homedepot-static.com/catalog/pdfImages/11/1135e9c1-2010-4aa3-b54e-3b70124b3b92.pdf
205347962,92510,12-Gauge Round Point Shovel with Fiberglass D-Grip Handle,"Bully Tools 12-Gauge fiberglass shovels utilize a triple wall fiberglass, wood reinforced handle design and an extra thick 12-Gauge steel blade. Great for homeowners and contractors, it is just as strong and hefty as a wood shovel, with the added comfort of a fiberglass handle. All Bully Tools shovels have a closed back design that prevents debris getting stuck while digging. The extended ferrule and welded I-beam support increases strength while prying. In testing, the steel shovel head bends before the handle breaks in both wood and fiberglass models. The Dgrips have been redesigned for superior comfort and durability. Made with a special no-break Polypropylene co-polymer, you won't find a stronger dgrip. Watch our video to see it crush a cement block.","Bullet08 : High strength fiberglass handle,Bullet07 : Wide forward step provides greater control,Bullet04 : Welded I-Beam Construction prevents bending along ferrule,Bullet05 : Closed back design prevents debris buildup,Bullet03 : Extra thick 12-Gauge steel blade,Bullet06 : Extended steel ferrule increases strength,MFG Brand Name : Bully Tools,Bullet09 : Not just a plastic Dgrip No-Break Polypropylene Co-Polymer Dgrip with extra wide design and no-slip texture,Bullet01 : Commercial grade,Bullet02 : Limited lifetime warranty",41.08 / 41.08,"Product Highlight 3 : Perfect tool for digging and landscaping,Product Highlight 2 : Manufactured strong and durable,Product Highlight 1 : Handle designed to increase leverage and reduce fatigue",0.0,"https://images.homedepot-static.com/productImages/3251276f-08ee-4e17-b96e-9a0f3bd197cc/svn/bully-tools-shovels-92510-64_1000.jpg,https://images.homedepot-static.com/productImages/c86de2c0-346b-4fca-9be2-1c44dea9f693/svn/bully-tools-shovels-92510-c3_1000.jpg","Handle Material : Fiberglass,Garden Center Tool Type : Shovel,Returnable : 90-Day,Coated Blades : No,D-Grip Handle : Yes,Blade Material : Steel,Product Weight (lb.) : 5.35,Blade Length (in.) : 9.5,Blade Width (in.) : 12,Product Width (in.) : 3.625,Product Depth (in.) : 3.625,Handle Length (in.) : 33,Product Height (in.) : 9,Manufacturer Warranty : Limited Lifetime Warranty","Product Brochure : https://images.homedepot-static.com/catalog/pdfImages/b2/b21dfb0f-2a88-4625-b7eb-6791b20e0123.pdf,Instructions / Assembly : https://images.homedepot-static.com/catalog/pdfImages/11/1135e9c1-2010-4aa3-b54e-3b70124b3b92.pdf"
100127333,47604,16 in. D-Handle Drain Spade,"The Razor-Back drain spade is designed for digging narrow trenches and cleaning out previously dug ditches. It is also great for transplanting live trees and shrubs. The construction of this tool is durable, reliable and dependable to service users for years to come.","Bullet02 : Forward turned-step for secure foot placement,MFG Brand Name : Razor-Back,Bullet04 : 30 in. fiberglass handle for ultimate strength and durability,Bullet03 : Heavy duty D-grip handle,Bullet01 : 14-Gauge closed-back blade with crimp collar",43.15 / 43.15,"Product Highlight 3 : Strong fiberglass handle with poly D-grip,Product Highlight 2 : Closed back design prevents dirt build up on back of blade,Product Highlight 1 : Narrow, heavy gauge blade with forward turned step",3.3333,"https://images.homedepot-static.com/productImages/0dd5b587-a4bd-4fe6-9725-c5ad9942eea0/svn/razor-back-shovels-47604-64_1000.jpg,https://images.homedepot-static.com/productImages/8e91a011-aa6d-4b39-9ca2-a69e9a2ec569/svn/razor-back-shovels-47604-c3_1000.jpg,https://images.homedepot-static.com/productImages/95efd22e-84a2-4bfa-8866-39901647f68b/svn/razor-back-shovels-47604-31_1000.jpg","Handle Material : Fiberglass,Garden Center Tool Type : Shovel,Returnable : 90-Day,Product Weight (lb.) : 3.9,D-Grip Handle : Yes,Blade Material : Steel,Coated Blades : Yes,Handle Length (in.) : 30,Blade Length (in.) : 16,Product Height (in.) : 46.8,Product Width (in.) : 6,Product Depth (in.) : 2.5,Blade Width (in.) : 6,Manufacturer Warranty : Lifetime",Instructions / Assembly : https://images.homedepot-static.com/catalog/pdfImages/1a/1a615bcf-18b5-4602-938e-71077d55a4dc.pdf
311374870,SJ-SHLV20,Shovelution 20 in. Poly Blade Back Saving Telescoping Snow Shovel w/ Spring Assisted Handle,"This winter, experience the cutting-edge in snow clearing technology with Snow Joes SHOVELUTION, the ultimate strain-reducing snow shovel with spring-assist handle. Now you can shovel smarter, not harder to quickly and easily get snow out of your way. No more heavy lifting with a traditional shovel. No more aching back. Shovelution greatly reduces the effort, strain and potential injury involved in shoveling, using the powerful muscles of your upper body to do the lifting and throwing and sending lifting leverage to the lower hand to reduce back strain by up to 30%, so you can lift more and throw farther. With SHOVELUTIONs patented dual-handle spring-loaded system and durable 20 blade, you're always ready for the next load. SHOVELUTION captures the expended energy from throwing the snow and rapidly recoils to instantly reset the shovel. And, Snow Joes SHOVELUTION isn't just for winter weather. Use it to easily lift loads of mulch around the garden come spring.","Bullet02 : Comfortable, ergonomic D-ring handle grips,Bullet03 : Spring-assist handle acts as a fulcrum changes mechanics of shoveling, reduces strain,MFG Brand Name : Snow Joe,Bullet06 : Wide 20 in. shovel blade with aluminum wear strip,Bullet04 : Gives lifting leverage to the lower hand to lift greater loads with ease,Bullet05 : Ergonomic design improves posture, reduces the need to bend,Bullet01 : Durable, impact-resistant blade",27.98 / 27.98,,0.0,"https://images.homedepot-static.com/productImages/e32ef68f-4132-48f3-87d5-214df71cf682/svn/snow-joe-snow-shovels-ice-scrapers-sj-shlv20-64_1000.jpg,https://images.homedepot-static.com/productImages/2f51e1ee-bd6d-4844-b7c2-a8ce863f505e/svn/snow-joe-snow-shovels-ice-scrapers-sj-shlv20-c3_1000.jpg,https://images.homedepot-static.com/productImages/9b62455f-3923-4c9f-b70a-0e4b3236be3d/svn/snow-joe-snow-shovels-ice-scrapers-sj-shlv20-4f_1000.jpg,https://images.homedepot-static.com/productImages/02f04c22-31f4-4d88-b006-388428a536b2/svn/snow-joe-snow-shovels-ice-scrapers-sj-shlv20-1f_1000.jpg","Handle Material : Polypropylene,Returnable : 90-Day,Coated Blades : No,Blade Material : Aluminum,Product Weight (lb.) : 6 lb,Garden Center Tool Type : Snow Shovel,Product Height (in.) : 50 in,Blade Width (in.) : 0,Product Width (in.) : 12 in,Blade Length (in.) : 20 in,Product Depth (in.) : 20 in,Handle Length (in.) : 41.3,Manufacturer Warranty : 2 years",Instructions / Assembly : https://images.homedepot-static.com/catalog/pdfImages/11/1135f2ee-62e6-49ae-9c28-f1ada82b0697.pdf
307839442,SJBLZD-JMB-SJB,19 in. Telescoping Jumbo Snow Broom with Ice Scraper,"We took the best and made it bigger. The 2-in-1 telescoping Jumbo Snow Broom from Snow Joe makes quick work out of the Snow piled on the roof, hood, trunk, or windshield of your car. Its patented dual-purpose design features an oversized broom head on 1 end and a built-in XL ice scraper on the other, so you can quickly push heavy, wet snow off your car, then clear away the ice build-up on your windshield with just 1 tool. Made with a durable, reinforced, non-abrasive foam head, the 19 in. Snow Broom safely and effectively sweeps snow off your car without scratching the glass surfaces. Plus, its telescoping pole extends from 33 in. to 52 in. to provide maximum reach with minimal strain. Weighing only 1.5 lbs. the Jumbo Snow Broom is super easy to handle and stores neatly inside the trunk of your car with its built-in bracket holder. GET EQUIPPED this winter with the Snow Joe 2-in-1 Telescoping Jumbo Snow Broom and clear out fast from tough winter messes.","Bullet04 : Auto-locking telescoping pole adjusts from 33 in. to 52 in. to extend reach,MFG Brand Name : Snow Joe,Bullet02 : Non-abrasive, oversized 19 in. foam head pushes heavy, wet snow off cars without damaging glass or paint,Bullet05 : Lightweight at only 1.5 lbs. for easy handling,Bullet01 : Patented dual-purpose design to tackle snow and ice,Bullet03 : Built-in XL ice scraper quickly clears ice build-up on windshields",18.71 / 18.71,"Product Highlight 1 : Oversized broom head on one end plus built-in XL ice scraper,Product Highlight 2 : Made with a durable, reinforced, non-abrasive foam head,Product Highlight 3 : Telescoping pole extends from 33 in. to 52 in.",3.5,"https://images.homedepot-static.com/productImages/c77449f8-2bb9-4ca7-8039-1c79bea9594d/svn/snow-joe-snow-shovels-ice-scrapers-sjblzd-jmb-sjb-64_1000.jpg,https://images.homedepot-static.com/productImages/477e85c5-a17c-4164-a39c-7a0a1f84622f/svn/snow-joe-snow-shovels-ice-scrapers-sjblzd-jmb-sjb-e1_1000.jpg,https://images.homedepot-static.com/productImages/ac6455e2-e429-4c69-81bc-bfde932f308e/svn/snow-joe-snow-shovels-ice-scrapers-sjblzd-jmb-sjb-c3_1000.jpg,https://images.homedepot-static.com/productImages/096335e0-dbe0-4dfa-8be3-013f443a4980/svn/snow-joe-snow-shovels-ice-scrapers-sjblzd-jmb-sjb-4f_1000.jpg,https://images.homedepot-static.com/productImages/24e8c1b0-79af-4711-8454-d5b6b2e3da2d/svn/snow-joe-snow-shovels-ice-scrapers-sjblzd-jmb-sjb-44_1000.jpg,https://images.homedepot-static.com/productImages/d7d853c0-afe6-4ffb-b9bc-ecfae17f7768/svn/snow-joe-snow-shovels-ice-scrapers-sjblzd-jmb-sjb-fa_1000.jpg","Handle Material : Aluminum,Returnable : 90-Day,Blade Material : Plastic,Coated Blades : No,Product Weight (lb.) : 1.5 lb,Garden Center Tool Type : Snow Shovel,Blade Length (in.) : 19 in,Handle Length (in.) : 33,Blade Width (in.) : 9,Product Height (in.) : 33 in,Product Depth (in.) : 19 in,Product Width (in.) : 9 in,Manufacturer Warranty : 2 years",
303354762,22511,58 in. Root Slayer XL Shovel,The Root Slayer Shovel XL Cuts Tough Roots With Ease. Encased steel shaft and carbon steel blade stands up to the toughest jobs. Back by Lifetime Warranty.,"Bullet01 : Inverted, V-shaped cutting tip and specially designed teeth rip through dirt and roots with ease,Bullet04 : Extra-wide, elevated forward step for safety and optimal performance,Bullet08 : Tool measures approximately 57.5 inches long,Bullet02 : Extended shaft provides extra leverage and comfort for taller gardeners,Bullet06 : Shaft made of reinforced 13-gauge resin-encased fiberglass and non-latex grips at top,Bullet07 : Blade measures approximately 10.5 x 13 inches,Bullet10 : Lifetime manufacturer guarantee (continental US only),Bullet03 : Eliminate the need for other tools, such as hatchets, pry-bars and saws, when simply digging around the home,Bullet09 : Regularly clean and sharpen blade to maintain quality and performance of the blade,MFG Brand Name : Radius Garden,Bullet05 : Blade made of powder-coated carbon steel for ultimate strength when digging",49.99 / 49.99,,4.6,https://images.homedepot-static.com/productImages/68ef86db-bd91-4974-9cfb-d746523d00a2/svn/radius-garden-shovels-22511-64_1000.jpg,"Handle Material : Fiberglass,Garden Center Tool Type : Shovel,Returnable : 90-Day,D-Grip Handle : No,Blade Material : Steel,Product Weight (lb.) : 5.25 lb,Coated Blades : Yes,Product Width (in.) : 10.5 in,Product Height (in.) : 57.5 in,Product Depth (in.) : 3.75 in,Handle Length (in.) : 44.5,Blade Width (in.) : 10.5,Blade Length (in.) : 13 in,Manufacturer Warranty : Lifetime",Instructions / Assembly : https://images.homedepot-static.com/catalog/pdfImages/f9/f9d0aaff-3bbb-4bf3-b47a-b2f7ffaa57a0.pdf
304268833,SJ-SHLV01-RED,Shovelution 18 in. Strain-Reducing Snow Shovel with Spring-Assist Handle in Red,"Time to toss out the old shovels; back-breaking winter-weather cleanups are a thing of the past with the Snow Joe SJ-SHLV01 Shovelution 18 in. Snow Shovel the next generation in snow-clearing technology. Snow Joe's back-saving solution greatly reduces the effort, strain and potential injury involved in shoveling, using the powerful muscles of your upper body to do the lifting and throwing, and sending lifting leverage to the lower hand to reduce back strain by up to 30%. Plus, Snow Joe's spring-loaded, ergonomic shovel grip captures the expended energy from the act of throwing the snow, to quickly return and reset the shovel, ready for the next load.","Bullet01 : Comfortable, ergonomic D-ring handle grips,Bullet05 : Wide 18 in. shovel blade with heavy-duty aluminum wear strip,MFG Brand Name : Snow Joe,Bullet02 : Acts as a fulcrum changes mechanics of shoveling, reduces strain,Bullet03 : Gives lifting leverage to the lower hand to lift greater loads with ease,Bullet04 : Back-saving handle improves posture, reduces the need to bend",22.92 / 22.92,"Product Highlight 1 : Designed to act as a fulcrum for maximum leverage,Product Highlight 2 : 18 in. shovel allows for quick snow clearing,Product Highlight 3 : Handle helps improve posture and reduces bending",4.6667,"https://images.homedepot-static.com/productImages/db285934-1b84-4db6-a94e-8821d73ba9b1/svn/snow-joe-snow-shovels-ice-scrapers-sj-shlv01-red-64_1000.jpg,https://images.homedepot-static.com/productImages/c89a8860-5bf4-4ab5-aceb-66ca4aeec063/svn/snow-joe-snow-shovels-ice-scrapers-sj-shlv01-red-c3_1000.jpg,https://images.homedepot-static.com/productImages/4c344507-553c-45d0-9917-397e4ca16aa3/svn/snow-joe-snow-shovels-ice-scrapers-sj-shlv01-red-4f_1000.jpg,https://images.homedepot-static.com/productImages/cc36d040-9cbc-4b84-b22f-2c7ad2130c93/svn/snow-joe-snow-shovels-ice-scrapers-sj-shlv01-red-1f_1000.jpg","Handle Material : Polypropylene,Returnable : 90-Day,Blade Material : Plastic,Coated Blades : No,Product Weight (lb.) : 3.6 lb,Garden Center Tool Type : Snow Shovel,Product Height (in.) : 18 in,Product Depth (in.) : 50 in,Blade Length (in.) : 18 in,Blade Width (in.) : 0,Product Width (in.) : 12 in,Handle Length (in.) : 41.3,Manufacturer Warranty : 2 years","Instructions / Assembly : https://images.homedepot-static.com/catalog/pdfImages/3c/3c935c05-119b-48b7-96e6-5bf5e4635334.pdf,Warranty : https://images.homedepot-static.com/catalog/pdfImages/c2/c2754ccc-f874-4e99-a6d2-05de32e5136c.pdf"
204682016,BDS7002,Stanley Long Handle Tool Combo (4-Piece),These tools are used to move and smooth soil and other loose materials. The lightweight fiberglass handle enables you to work longer. It is ideal for general yard work.,"Bullet01 : Tempered, heat treated steel for greater strength and longer life,Bullet04 : Wood reinforced core for extra strength,Bullet02 : Fiberglass handle for greater durability,MFG Brand Name : Unbranded,Bullet03 : Will not rot or splinter",76.92 / 76.92,,4.0,https://images.homedepot-static.com/productImages/f86ae03d-a09c-45e5-82a0-1d6bc0a9089d/svn/garden-tool-sets-bds7002-64_1000.jpg,"Coated tines : Yes,Handle Material : Fiberglass,Garden Center Tool Type : Shovel,Returnable : 90-Day,Product Weight (lb.) : 13.0,Short or Long Handle : Long,Number of tines : 16,Tool Type : Cultivator,Product Depth (in.) : 60,Product Height (in.) : 9,Handle Length (in.) : 20,Tine length (in.) : 3,Head Width (in.) : 12,Product Width (in.) : 21,Manufacturer Warranty : 10 Year",
205350374,47036,43 in. Fiberglass Handle Trenching Shovel,This Razor-Back fiberglass 6 in. trenching shovel has a unique blade design that is best for trench clean out. The 6 in. V-shaped blade is designed for digging a narrow trench. The fiberglass handle has ultimate core strength and durability for years of use.,"Bullet01 : Heavy gauge, tempered steel blade for maximum strength,Bullet04 : 43 in. fiberglass handle,MFG Brand Name : Razor-Back,Bullet02 : V-shaped blade with forward turned-step for improved efficiency,Bullet03 : Used to clear trenches, spillways, and ditches",30.22 / 30.22,"Product Highlight 1 : Narrow 6 inch wide heavy gauge steel blade,Product Highlight 2 : Rolled step prevents material build-up,Product Highlight 3 : Strong thick wall fiberglass handle",4.1429,"https://images.homedepot-static.com/productImages/f8be927b-ad7a-4181-aa65-15817fc554eb/svn/razor-back-shovels-47036-64_1000.jpg,https://images.homedepot-static.com/productImages/8e91a011-aa6d-4b39-9ca2-a69e9a2ec569/svn/razor-back-shovels-47036-c3_1000.jpg,https://images.homedepot-static.com/productImages/061beb06-69ef-4193-9ab2-9fee8bebc64f/svn/razor-back-shovels-47036-4f_1000.jpg,https://images.homedepot-static.com/productImages/cd27bb2a-579e-4c3d-8540-e7495954ca0b/svn/razor-back-shovels-47036-1f_1000.jpg","Handle Material : Fiberglass,Garden Center Tool Type : Shovel,Returnable : 90-Day,D-Grip Handle : No,Blade Material : Steel,Coated Blades : Yes,Product Weight (lb.) : 4.8,Product Depth (in.) : 6.8,Product Height (in.) : 56.3,Product Width (in.) : 6,Handle Length (in.) : 43,Blade Width (in.) : 6,Blade Length (in.) : 13.25,Manufacturer Warranty : Lifetime",Instructions / Assembly : https://images.homedepot-static.com/catalog/pdfImages/47/4740c369-4236-4419-8677-d3fd4bbaf847.pdf
