Item #,Model #,Item Name,Description,Product Details,Price (New/Used),Highlights/Features,Average,Pictures,Specifications,Manual / Guides
205023099,BV-CO30,3 in. Clamp-On Vise,The BESSEY 3 in. light duty clamp-on vises are light and very portable. These vises are made from high quality cast iron for years of dependable service. Integrated anvil.,"Bullet02 : Portable,Bullet04 : Strong cast iron body and sliding jaw,MFG Brand Name : BESSEY,Bullet05 : Twin steel guide bars,Bullet06 : Built in pipe jaws,Bullet01 : Maximum opening 3 inches,Bullet07 : Pipe capacity is 3/4 In.,Bullet03 : Quickly clamps to any work surface up to 1-1/2 In. thick quickly clamps to any work surface up to 1-1/2 In. thick quickly clamps to any work surface up to 1-1/2 In. thick",20.97 / 20.97,"Product Highlight 2 : Made of sturdy, thick cast iron,Product Highlight 3 : Portable to take to any job,Product Highlight 1 : Lightweight tool holds surfaces of up to 1.5 inches thick",4.0779,"https://images.homedepot-static.com/productImages/13bb4007-ee7c-4d8e-a036-c708c13c44fa/svn/bessey-vises-bv-co30-64_1000.jpg,https://images.homedepot-static.com/productImages/a59b348b-67da-4560-8ab9-1f5a794a5f06/svn/bessey-vises-bv-co30-c3_1000.jpg","Individual/Set : Individual,Material : Cast Iron,Returnable : 90-Day,Jaw Capacity : 2.375 in,Swivel base : No,Hand Tool Type : Vise,Tools Product Type : Hand Tool,Clamping Strength (lb.) : 50,Throat Depth : 1.0 in,Manufacturer Warranty : Limited Lifetime","Product Brochure : https://images.homedepot-static.com/catalog/pdfImages/03/03f221ff-f8b5-49c0-924f-446311b40d0c.pdf,Warranty : https://images.homedepot-static.com/catalog/pdfImages/cb/cbb1c6bc-4df5-49bc-8f87-49c73f6de19d.pdf"
205975777,STHT83179,4-3/8 in. Portable Quick Clamp,"The Stanley STHT83179 Quick Vise is ideal for DIY and hobbyist projects. Rather than a traditional hand crank, the quick vise utilizes a slide for quick, easy positioning and a lever for tightening. 2 built-in screw threads securely hold the vise to work surfaces and provide easy repositioning. A 4.5 in. jaw slides to open and close quickly and weighing only 3.5 lbs. the Quick Vise is also easy to transport.","Bullet06 : Weighs only 3.5 lbs.,Bullet07 : Ideal for DIY and hobbyist projects,MFG Brand Name : Stanley,Bullet03 : Constructed with an aluminum body for durability,Bullet01 : Vise is great for cutting, gluing, clamping, carving and all varieties of projects,Bullet02 : Utilizes a slide instead of crank for quick, easy positioning,Bullet04 : Removable non-marring pads cover the heavy-duty steel jaws to help prevent damage,Bullet05 : 4.5 in. jaw slides to open and close quickly",43.7 / 43.7,"Product Highlight 2 : Removable, non-marring rubber pads and steel jaw construction,Product Highlight 3 : Ideal for cutting, gluing, clamping and carving,Product Highlight 1 : Slide provides quick and easy positioning",4.1429,"https://images.homedepot-static.com/productImages/7159d5f5-a663-4d18-af88-150a308a9b3f/svn/stanley-vises-stht83179-64_1000.jpg,https://images.homedepot-static.com/productImages/a5c825b4-04a0-41bb-8430-c453c96a471f/svn/stanley-vises-stht83179-e1_1000.jpg,https://images.homedepot-static.com/productImages/4f727e5e-36b0-4a92-b153-59e8c5c97efa/svn/stanley-vises-stht83179-40_1000.jpg,https://images.homedepot-static.com/productImages/e99a805e-580e-4cd7-aae7-be7014b6e447/svn/stanley-vises-stht83179-a0_1000.jpg,https://images.homedepot-static.com/productImages/02c9b8a7-af58-4381-ab9f-65e859824338/svn/stanley-vises-stht83179-1d_1000.jpg,https://images.homedepot-static.com/productImages/e53e6d04-e72a-41d2-8f9e-e674ab172bdb/svn/stanley-vises-stht83179-66_1000.jpg","Individual/Set : Individual,Material : Aluminum,Returnable : 90-Day,Clamping Strength (lb.) : 400,Duty Rating : Light,Vise Type : Clamp-on,Jaw Capacity : 4.5,Swivel base : No,Hand Tool Type : Vise,Tools Product Type : Hand Tool,Jaw Width : 4.5,Throat Depth : 2.75,Manufacturer Warranty : Limited Lifetime",
203459687,28608,Precision Vise FMZ with Clamp,"Rotates in all directions. Made of die-cast zinc. Easily clamps to workbenches and tables of up to 2 3/8 in. (60 mm). Alternatively, use 2 standard screws to secure to the work surface. Ball and socket: rotates in all directions (even downwards). 3 in. (75 mm) jaws with protective covers (for delicate work pieces). Maximum clamping width 2 3/16 in. (70 mm) and weight 1.6 kg.","Bullet06 : Hobby applications only,MFG Brand Name : Proxxon,Bullet04 : For hands free use of Proxxon micromot line, use 28410 micromot tool clamp,Bullet03 : Bench clamping feature allows for fixing to a workbench or table top surface,Bullet01 : Comes with protective jaw covers,Bullet02 : Ball socket feature allows for rotation and clamping in multiple directions,Bullet05 : Not intended for industrial use",41.45 / 41.45,,4.8,https://images.homedepot-static.com/productImages/d65b969e-813c-4fe2-a11d-f1688846d968/svn/proxxon-vises-28608-64_1000.jpg,"Swivel base : Yes,Individual/Set : Individual,Returnable : 90-Day,Jaw Capacity : 2.25 in,Vise Type : Bench,Clamping Strength (lb.) : 400,Duty Rating : Light,Hand Tool Type : Vise,Tools Product Type : Hand Tool,Material : Metal,Throat Depth : 1.25 in,Jaw Width : 3 in,Manufacturer Warranty : n/a",
